company,signal_type,signal_summary,fit_tier,outreach_angle,source_url
Serava,hiring,"Full-stack role includes Python + Django + PostgreSQL",B,"Useful for report generation and async data enrichment",https://wellfound.com/jobs/3534683-full-stack-developer-python-django-react
Pragma (formerly Logisy),hiring,"Python Django role also mentions FastAPI",A,"Strong fit for e-commerce async workflows and retries",https://wellfound.com/jobs/2697276-software-engineer-python-django-developer
Bluelight Consulting,hiring,"Senior fullstack role: Python Django",C,"Agency teams can standardize background jobs across clients",https://wellfound.com/jobs/3604853-fullstack-developer-senior-python-django-react-remote-latin-america
Zerocater,hiring,"Senior backend role focused on Django APIs",B,"Good fit for scheduled/menu/ops background processing",https://wellfound.com/jobs/3548129-senior-software-engineer-backend-python-django
Fulfil,hiring,"Lead role lists Django, Redis, RabbitMQ, Celery, FastAPI",A,"Immediate Celery pain-replacement positioning",https://wellfound.com/jobs/3802489-lead-engineer-finance-python-backend-ai
Chaotix AI,hiring,"Fullstack role includes Django + Celery",A,"Game/content pipelines benefit from durable async workers",https://wellfound.com/jobs/3269686-fullstack-developer
Kredily,hiring,"Backend role references Django/Celery/Kubernetes stack",A,"Pitch managed execution to reduce worker infra toil",https://wellfound.com/jobs/3320903-senior-backend-engineer-ml-ai-exposure
Newcode.ai,hiring,"FastAPI posting references Redis and Celery",A,"High signal for pain around async/distributed jobs",https://www.ziprecruiter.com/Jobs/Fastapi-Python/--in-California
PELICON SOFTWARE SOLUTIONS,hiring,"Backend posting mentions Python FastAPI + Django",B,"Position Gum as managed queueing/execution layer",https://www.hirist.tech/j/backend-developer-python-django-1620115
A TO Z CONGLOMERATE MCHJ,hiring,"Backend-focused role lists FastAPI/Django/Celery",B,"Early-stage platform with queue complexity; Gum simplification pitch",https://talanto.work/jobs/99767d1f-022a-45a9-a35f-9e943f02f50b
Udemy,usage,"Public stack shows Celery + Django + Redis",A,"Enterprise-scale proof: show reliability + no Redis ops for teams",https://stackshare.io/udemy
Soylent,usage,"Public stack shows Celery + Django + RabbitMQ",A,"Migration story from classic queue setup to managed execution",https://stackshare.io/soylent
Codecov,usage,"CTO notes Celery used for long-running async tasks",A,"Direct pain narrative around task timeouts, retries, queue hygiene",https://stackshare.io/tools/celery
Sentry,usage,"Ops note references Django + Celery + Redis",A,"SRE-heavy teams value stability and observability-first job infra",https://stackshare.io/tools/celery
Cloudify,usage,"Discussion notes Celery + RabbitMQ orchestration",B,"Pitch simpler orchestration for Python task workers",https://stackshare.io/tools/celery
nrise,usage,"CTO discussion references Celery/Celerybeat workflows",B,"Emphasize cron + background jobs in one API",https://stackshare.io/tools/celery
Postmates,usage,"Listed as popular company using Celery",A,"Logistics workloads map to high-volume async execution",https://stackshare.io/stackups/celery-vs-opm
Ansible,usage,"Listed as popular company using Celery",A,"Infra-oriented teams appreciate deterministic retries + queue controls",https://stackshare.io/stackups/celery-vs-kue
OpenLabel,usage,"Listed as popular company using Celery",B,"Show lower operational burden versus DIY worker stack",https://stackshare.io/stackups/celery-vs-kue
Gigster,usage,"Kue comparison lists Gigster in background job stacks",C,"Services firms can standardize async infra with Gum",https://stackshare.io/stackups/celery-vs-kue
Greenkeeper,usage,"Kue comparison lists Greenkeeper",C,"Small teams benefit from no-broker setup and sane defaults",https://stackshare.io/stackups/celery-vs-kue
Fraeber Labs Pvt Ltd,usage,"Kue comparison lists Fraeber Labs",C,"Simple migration path from queue libraries to managed jobs",https://stackshare.io/stackups/celery-vs-kue
LemonStand,usage,"Comparison snippet lists as Open PostgreSQL Monitoring user",C,"DB/ops-aware teams can adopt managed job execution",https://stackshare.io/stackups/celery-vs-opm
Helpful,usage,"Comparison snippet lists as Open PostgreSQL Monitoring user",C,"Position Gum as low-maintenance background execution",https://stackshare.io/stackups/celery-vs-opm
Icalia Labs,usage,"Comparison snippet lists as Open PostgreSQL Monitoring user",C,"Agency/product studio fit for standardizing async tasks",https://stackshare.io/stackups/celery-vs-opm
8PERCENT,usage,"Public stack shows Django + Redis + Celery",A,"Fintech async workloads: retries, rate-limits, and schedules",https://stackshare.io/8percent/8percent
Lifesum,usage,"Public stack shows Django + Redis + Celery",A,"Health app event processing and messaging are async-heavy",https://stackshare.io/lifesum/lifesum
Practo,usage,"Public stack includes Celery (utilities section)",A,"Healthcare operations + messaging fit durable background jobs",https://stackshare.io/practo/practo
FreshBooks,usage,"Public stack shows Python/Redis + Celery",A,"SMB SaaS invoicing/notifications map cleanly to job workflows",https://stackshare.io/freshbooks/freshbooks
Net Power & Light,usage,"Public stack lists Redis + Celery + RabbitMQ",B,"Infra-heavy stack can reduce worker management overhead",https://stackshare.io/net-power-and-light/net-power-and-light
HackerRank (DataScience stack),usage,"Public stack lists Django + Redis + Celery",B,"Data pipelines and async scoring jobs are strong Gum fit",https://stackshare.io/hackerrank/datascience
Bitbucket,usage,"Company appears in Celery tool adoption companies",B,"Large dev org angle: centralized reliability controls",https://stackshare.io/celery
Zapier,usage,"Company appears in Celery tool adoption companies",B,"Workflow-centric teams value retries, limits, and idempotency",https://stackshare.io/celery
